,date,prices_name,price,hub,hub2,unit,currency,price_type,products,id_source,product_type
252,2023-01-03,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,BID,CAL24,8,Year
253,2023-01-03,Czech Virtual Point_THE,2.5,Czech Virtual Point,THE,MWh,EUR,ASK,CAL24,8,Year
254,2023-01-03,VTP_TTF,2.5,VTP,TTF,MWh,EUR,BID,CAL24,8,Year
255,2023-01-03,VTP_TTF,4.1,VTP,TTF,MWh,EUR,ASK,CAL24,8,Year
256,2023-01-03,THE,77.55,THE,,MWh,EUR,BID,CAL24,8,Year
257,2023-01-03,THE,79.11,THE,,MWh,EUR,ASK,CAL24,8,Year
258,2023-01-03,THE_TTF,2.8,THE,TTF,MWh,EUR,BID,CAL24,8,Year
259,2023-01-03,THE_TTF,3.125,THE,TTF,MWh,EUR,ASK,CAL24,8,Year
260,2023-01-03,TTF,74.75,TTF,,MWh,EUR,BID,CAL24,8,Year
261,2023-01-03,TTF,75.985,TTF,,MWh,EUR,ASK,CAL24,8,Year
262,2023-01-04,Czech Virtual Point,64.3,Czech Virtual Point,,MWh,EUR,BID,DA,8,Daily
263,2023-01-04,Czech Virtual Point,64.85,Czech Virtual Point,,MWh,EUR,ASK,DA,8,Daily
264,2023-01-04,Czech Virtual Point_THE,0.5,Czech Virtual Point,THE,MWh,EUR,BID,DA,8,Daily
265,2023-01-04,Czech Virtual Point_THE,1.0,Czech Virtual Point,THE,MWh,EUR,ASK,DA,8,Daily
266,2023-01-04,CEGH,65.25,CEGH,,MWh,EUR,BID,DA,8,Daily
267,2023-01-04,CEGH,66.025,CEGH,,MWh,EUR,ASK,DA,8,Daily
268,2023-01-04,VTP_TTF,2.25,VTP,TTF,MWh,EUR,BID,DA,8,Daily
269,2023-01-04,VTP_TTF,3.0,VTP,TTF,MWh,EUR,ASK,DA,8,Daily
270,2023-01-04,THE,63.8,THE,,MWh,EUR,BID,DA,8,Daily
